----- Trial 1, 0 Distractions -----
628,R
492,R
428,B
387,G
392,R
305,B
319,R
613,R
482,R
523,R
486,R
440,B
462,B
361,R
432,R
382,B
492,R
441,R
371,G
442,G
450,R
469,R
461,R
458,B
426,G
499,R
554,R
417,B
422,B
411,R
431,R
352,G
519,B
461,G
707,R
401,G
583,G
753,R
518,B
749,G
668,R
507,B
607,R
622,G
611,G
512,G
549,B
618,B
614,G
806,B
624,B
524,R
495,B
1275,R
476,R
580,B
414,R
402,G
629,B
614,G
416,R
549,B
564,B
846,G
----- Trial 2 , 1 distraction -----
561,G
772,R
545,B
361,G
573,B
426,R
406,G
372,G
280,G
569,B
589,B
624,B
360,R
481,B
304,G
600,R
967,R
668,G
637,G
449,G
367,G
638,B
481,R
682,B
506,R
657,B
513,R
571,R
519,R
517,B
494,R
427,G
534,B
829,B
608,B
520,B
716,R
551,B
552,R
549,B
517,G
573,G
487,G
508,B
500,B
533,G
747,B
433,G
599,G
473,R
601,B
596,R
646,B
490,R
658,B
530,R
634,G
525,R
648,G
777,B
520,G
----- Trial 3, 2 distractions -----
516,R
448,G
638,R
619,G
511,G
719,B
472,R
522,R
618,B
557,G
554,B
988,B
980,R
627,R
893,G
603,G
433,G
581,G
604,B
541,B
506,B
741,G
436,R
574,G
619,R
481,G
550,G
368,G
406,R
560,G
591,G
328,G
593,R
624,R
476,G
503,G
640,B
721,B
538,G
477,R
703,R
519,G
518,G
1244,R
1249,R
746,G
571,R
601,R
509,G
866,B
520,G
570,G
606,G
609,R
754,B
682,B
710,B
592,B
747,G
594,R
716,B
757,B
620,G
428,R
523,R
518,R
408,G
553,R
1102,B
